BulletMasterProfileID,Manufacturer,Caliber,Model,Weight
dadadd7e-e555-40cf-b79f-34e6b7f05e03,Alco,0.308,RBT AT,220
88bd27ba-753d-4718-9e8f-132e707c9ac4,ARM,0.308,Predator,176
fefb6d8f-13e4-4b52-9cfa-b32d45b4f17b,Australia,0.308,HBC,155
bd3d7588-fc51-4c6d-a17a-323978abfae7,Barnes,0.510,LR Solid,800
d6fbeae5-c35a-43e2-9774-f2f2cf18d387,Barnes,0.510,LR Solid BoreRider,750
930bb135-5da6-4f8d-b5bc-54ffc7444303,Barnes,0.264,LRXBT,127
3de4abea-4b0d-41b4-b591-79bcd5132a8d,Barnes,0.277,LRXBT,129
c617ed75-5049-4c6c-a833-7e2af424c934,Barnes,0.284,LRXBT,145
1fc8dc31-930d-458c-a9c7-f2650ead4b10,Barnes,0.284,LRXBT,168
db7923f2-d8b1-4220-9eb9-e66935a5e863,Barnes,0.308,LRXBT,175
ba16b752-95ec-477a-81f4-6f9eed6abfa1,Barnes,0.308,LRXBT,200
4da14068-2797-4a8a-91b4-56cd99eb9403,Barnes,0.338,LRXBT,265
d99aca27-470a-425a-81c5-b6cad8967f9c,Barnes,0.338,LRXBT,280
29c986fc-33dc-490e-985a-2de024fa0f66,Barnes,0.375,LRXBT,270
88020667-2e0a-4ed4-a617-93785e3a90d2,Barnes,0.224,Match Burner,50
b30122a4-b5db-445c-b4e6-ff02d54515ee,Barnes,0.224,Match Burner,52
0252bf12-ba04-421d-b91f-15a415ada1ee,Barnes,0.224,Match Burner,69
307c7b8b-f670-4636-8554-02616fbc5891,Barnes,0.224,Match Burner,85
9f4c2516-428e-415e-8de5-6119cc4b62a8,Barnes,0.284,Match Burner,171
b0d35473-3eb7-43b8-a253-b16dc51c6218,Barnes,0.308,Match Burner,155
50588fb4-e3c9-400f-b00c-94d1fbd91c2a,Barnes,0.308,Match Burner,175
4b8e0978-7ec4-4955-b3c9-60f6e410562d,Barnes,0.243,Match Burner,68
77ef5277-95be-4d08-b542-8311c2de7f58,Barnes,0.243,Match Burner,105
89bda892-1efe-47ad-9263-e4b2c283432e,Barnes,0.264,Match Burner,140
073a71b3-9aae-48d3-b4dd-2c9815f39929,Barnes,0.308,MLE TacX BT,110
5aebff5a-2d65-40dd-b37a-43404f1dcf53,Barnes,0.308,MLE TacX BT,168
b357950b-8904-47f5-8554-a3a1533e96f3,Barnes,0.308,RRLP FB,150
73e7374c-481f-412d-8a8f-ab9ad9ce4919,Barnes,0.510,Tac LR,750
1506d433-0a5c-4c65-af4b-466539fb51d8,Barnes,0.338,Tac TXBT,225
224dc721-e3a2-4d37-8455-b1ed2ad49012,Barnes,0.338,Tac TXBT,265
ae790cc9-ba0b-46b1-a7fb-089c82a895d4,Barnes,0.224,Tac X,70
e1e77292-24e9-4fcd-a994-3c837c34fcc8,Barnes,0.510,Tac X,647
14246d15-8f67-4ff2-9206-4d3613bec22b,Barnes,0.338,Tac X BT,285
4f5c7e29-ad18-4628-9eef-dd34d8f288ed,Barnes,0.308,Tac X BT,150
9f28bfab-e867-44ee-ac08-78e117fb1d83,Barnes,0.284,TSX,175
81052a1d-53ee-45d8-9744-61da052096c7,Barnes,0.224,TSXBT,70
9ef53837-caf5-44f8-87ed-816a7b152d2a,Barnes,0.277,TSXBT,130
2bb4ca1c-aa73-4a32-8205-e291b70eaab5,Barnes,0.277,TSXBT,140
a7264fd4-d50f-4ed8-9c3a-d2f326dd40cd,Barnes,0.308,TSXBT,165
892c7bd1-f34d-48f8-9ef2-4053834cff72,Barnes,0.308,TSXBT,168
b99d82d7-3e87-48c1-bd59-1f539c16c3ed,Barnes,0.308,TSXBT,180
c8e4fb01-16f7-48da-b67d-369ec55f3eef,Barnes,0.338,TSXBT,285
0c09eb7d-dc94-408f-9f08-52cc3aab0f53,Barnes,0.257,TSXFB,115
78370a4f-8d13-48a4-b50a-f5c4625e6dc0,Barnes,0.284,TSXFB,110
49f1461b-9d5f-4449-8e01-5233aca88522,Barnes,0.224,TTSX,55
c80337be-f03b-471d-aa53-d7989a7826ad,Barnes,0.257,TTSX,100
4e0ed9f1-8e6e-4d65-8d1b-bb96bc7bba6e,Barnes,0.308,TTSX,110
8bb3cb29-c7b2-4132-afc4-a5f236bb05a3,Barnes,0.224,TTSXBT,62
aae37fa9-9382-49f7-b1a8-eba3ce6ad8a3,Barnes,0.243,TTSXBT,80
3850395c-5b64-44d0-9417-9882ac17ead6,Barnes,0.257,TTSXBT,80
3f48ddc3-5118-47c1-be9e-270398669302,Barnes,0.264,TTSXBT,100
f90d7920-d14b-419f-b8f6-e4c0b867fb91,Barnes,0.264,TTSXBT,120
222d0370-a002-489d-aa98-6380e5bb6639,Barnes,0.277,TTSXBT,95
625168bb-cb8a-48fd-9ebe-e039edf678f2,Barnes,0.277,TTSXBT,110
165007eb-d05e-4b14-b684-b8d2de02364a,Barnes,0.277,TTSXBT,130
2f8db041-9dea-4945-9d4a-2a67f50de01b,Barnes,0.284,TTSXBT,120
c37e3902-fd28-4d0f-90f2-b916c5f5a459,Barnes,0.284,TTSXBT,140
c889e86b-41ec-4714-94b9-4db0dd79f8ee,Barnes,0.284,TTSXBT,150
4e196324-bc2a-409a-b1a0-52c2074fb542,Barnes,0.308,TTSXBT,130
252ee537-0de9-49b4-9520-632f1d6a15fb,Barnes,0.308,TTSXBT,150
34d6f0d0-8b76-4c24-9475-29a989e1ac41,Barnes,0.308,TTSXBT,165
316bd862-64f1-43d1-b256-e62a8210c0fb,Barnes,0.308,TTSXBT,168
3228adde-8057-4384-a3d7-3268844ea748,Barnes,0.338,TTSXBT,185
382c2fdd-a9fd-42eb-9f63-c5a3d45a6047,Barnes,0.338,TTSXBT,210
ddf9b009-de74-4dda-8841-e9656982ad7f,Barnes,0.338,TTSXBT,225
67506b70-43e2-42aa-9379-e4b98b5f7ba3,Barnes,0.284,TTSXFB,110
9ab4ef7f-83f0-4d4f-bf4f-088135ac22a9,Barrett,0.416,Brass Solid,398
321b16e3-8be4-4135-a463-b8d4b90701af,Barts,0.243,RBT,105
c0554f6d-dbbe-4f35-8c38-ddb46de02329,Berger,0.243,Classic Hunter,95
